crop1,crop2,source,type,Reason,Sens
Abricot,Achillée,23,+,,
Abricot,Ail,23,+,,
Abricot,Ail,17,+,,
Abricot,Asperge,17,+,,
Abricot,Basilic,17,+,,
Abricot,Basilic,23,+,,
Abricot,Capucine,23,+,,
Abricot,Epinard,23,+,,
Abricot,Mélisse,23,+,,
Abricot,Ortie,23,+,,
Abricot,Raifort,23,+,,
Abricot,Soucis,23,+,,
Abricot,Tanaisie,23,+,,
Abricot,Tanaisie,17,+,,
Abricot,Tournesol,23,+,,
Abricot,Tournesol,17,+,,
Absinthe,Brocoli,15,+,,
Absinthe,"Choux (cabus, fleur, chinois, milan, frisé, rave)",15,+,,
Absinthe,Chou de bruxelles,15,+,,
Absinthe,Radis,15,+,,
Achillée,Arbres fruitiers (en général),23,+,,
Achillée,Cerfeuil,23,+,,
Achillée,Cerise,23,+,,
Achillée,Laitue (Salade),17,+,,
Achillée,Mûre,23,+,,
Achillée,Pomme,23,+,,
Achillée,Tanaisie,23,+,,
Achillée,Vigne,23,+,,
Ail,Arbres fruitiers (en général),9,+,,
Ail,Arbres fruitiers (en général),3,+,,
Ail,Arbres fruitiers (en général),23,+,,
Ail,Arbres fruitiers (en général),15,+,,
Ail,Arbres fruitiers (en général),13,+,,
Ail,Arbres fruitiers (en général),11,+,,
Ail,Asperge,2,+,,
Ail,Aubergine,20,+,,
Ail,"Blettes (bettes, cardes, poirées…)",15,+,,
Ail,Betterave,2,+,,
Ail,Betterave,5,+,,
Ail,Betterave,6,+,,
Ail,Betterave,7,+,,
Ail,Betterave,9,+,,
Ail,Betterave,10,+,,
Ail,Betterave,15,+,,
Ail,Brocoli,15,+,,
Ail,Camomille,6,+,,
Ail,Camomille,9,+,,
Ail,Carotte,9,+,,
Ail,Carotte,8,+,,
Ail,Carotte,7,+,,
Ail,Carotte,6,+,,
Ail,Carotte,5,+,,
Ail,Carotte,4,+,,
Ail,Carotte,3,+,,
Ail,Carotte,19,+,,
Ail,Carotte,15,+,,
Ail,Carotte,14,+,,
Ail,Carotte,13,+,,
Ail,Carotte,12,+,,
Ail,Carotte,10,+,,
Ail,Céleris (branche & rave),9,+,,
Ail,Céleris (branche & rave),15,+,,
Ail,Céleris (branche & rave),6,+,,
Ail,Cerfeuil,23,+,,
Ail,Cerise,17,+,,
Ail,Cerise,23,+,,
Ail,"Choux (cabus, fleur, chinois, milan, frisé, rave)",20,+,,
Ail,"Choux (cabus, fleur, chinois, milan, frisé, rave)",15,+,,
Ail,Chou de bruxelles,15,+,,
Ail,Citron,15,+,,
Ail,Concombre,9,+,,
Ail,Concombre,8,+,,
Ail,Concombre,7,+,,
Ail,Concombre,6,+,,
Ail,Concombre,3,+,,
Ail,Concombre,2,+,,
Ail,Concombre,15,+,,
Ail,Cornichon,6,+,,
Ail,Cornichon,9,+,,
Ail,Endive,15,+,,
Ail,Epinard,9,+,,
Ail,Epinard,15,+,,
Ail,Fève & Fèverole,9,+,,
Ail,Fenouil,6,+,,
Ail,Fraise,9,+,,
Ail,Fraise,8,+,,
Ail,Fraise,7,+,,
Ail,Fraise,6,+,,
Ail,Fraise,5,+,,
Ail,Fraise,4,+,,
Ail,Fraise,3,+,,
Ail,Fraise,2,+,,
Ail,Fraise,15,+,,
Ail,Fraise,14,+,,
Ail,Fraise,12,+,,
Ail,Fraise,10,+,,
Ail,Fraise,1,+,,
Ail,Framboise,9,+,,
Ail,Framboise,17,+,,
Ail,Framboise,16,+,,
Ail,Framboise,15,+,,
Ail,Framboise,11,+,,
Ail,Laitue (Salade),9,+,,
Ail,Laitue (Salade),8,+,,
Ail,Laitue (Salade),7,+,,
Ail,Laitue (Salade),6,+,,
Ail,Laitue (Salade),5,+,,
Ail,Laitue (Salade),2,+,,
Ail,Laitue (Salade),15,+,,
Ail,Laitue (Salade),12,+,,
Ail,Laitue (Salade),10,+,,
Ail,Laitue (Salade),1,+,,
Ail,Lavande,23,+,,
Ail,Mûre,17,+,,
Ail,Mûre,23,+,,
Ail,Oignon,8,+,,
Ail,Oignon,3,+,,
Ail,Oignon,15,+,,
Ail,Oignon,14,+,,
Ail,Panais,17,+,,
Ail,Pêche,17,+,,
Ail,Pissenlit,6,+,,
Ail,Poireau,8,+,,
Ail,Poireau,3,+,,
Ail,Poireau,14,+,,
Ail,Poire,17,+,,
Ail,Pomme de terre,9,+,,
Ail,Pomme de terre,6,+,,
Ail,Pomme de terre,5,+,,
Ail,Pomme de terre,4,+,,
Ail,Pomme de terre,15,+,,
Ail,Pomme de terre,12,+,,
Ail,Pomme de terre,10,+,,
Ail,Pomme de terre,1,+,,
Ail,Pomme,23,+,,
Ail,Radis,1,+,,
Ail,Radis,6,+,,
Ail,Radis,7,+,,
Ail,Radis,9,+,,
Ail,Radis,12,+,,
Ail,Radis,15,+,,
Ail,Romarin,23,+,,
Ail,Romarin,17,+,,
Ail,Rutabaga,9,+,,
Ail,Rutabaga,15,+,,
Ail,Sarriette,6,+,,
Ail,Sarriette,9,+,,
Ail,Tomate,9,+,,
Ail,Tomate,8,+,,
Ail,Tomate,7,+,,
Ail,Tomate,6,+,,
Ail,Tomate,5,+,,
Ail,Tomate,4,+,,
Ail,Tomate,3,+,,
Ail,Tomate,2,+,,
Ail,Tomate,19,+,,
Ail,Tomate,15,+,,
Ail,Tomate,12,+,,
Ail,Tomate,10,+,,
Ail,Tomate,1,+,,
Aneth,Asperge,19,+,,
Aneth,Betterave,8,+,,
Aneth,Betterave,3,+,,
Aneth,Betterave,23,+,,
Aneth,Betterave,15,+,,
Aneth,Betterave,14,+,,
Aneth,Betterave,1,+,,
Aneth,Brocoli,9,+,,
Aneth,Brocoli,4,+,,
Aneth,Brocoli,23,+,,
Aneth,Brocoli,19,+,,
Aneth,Carotte,8,+,,
Aneth,Carotte,3,+,,
Aneth,Carotte,23,+,,
Aneth,Carotte,2,+,,
Aneth,Carotte,16,+,,
Aneth,Carotte,15,+,,
Aneth,Carotte,14,+,,
Aneth,Carotte,13,+,,
Aneth,Carotte,1,+,,
Aneth,Céleris (branche & rave),17,+,,
Aneth,Céleris (branche & rave),23,+,,
Aneth,Cerfeuil,23,+,,
Aneth,"Choux (cabus, fleur, chinois, milan, frisé, rave)",9,+,,
Aneth,"Choux (cabus, fleur, chinois, milan, frisé, rave)",4,+,,
Aneth,"Choux (cabus, fleur, chinois, milan, frisé, rave)",23,+,,
Aneth,"Choux (cabus, fleur, chinois, milan, frisé, rave)",20,+,,
Aneth,"Choux (cabus, fleur, chinois, milan, frisé, rave)",19,+,,
Aneth,"Choux (cabus, fleur, chinois, milan, frisé, rave)",17,+,,
Aneth,"Choux (cabus, fleur, chinois, milan, frisé, rave)",16,+,,
Aneth,"Choux (cabus, fleur, chinois, milan, frisé, rave)",15,+,,
Aneth,"Choux (cabus, fleur, chinois, milan, frisé, rave)",14,+,,
Aneth,"Choux (cabus, fleur, chinois, milan, frisé, rave)",11,+,,
Aneth,Chou de bruxelles,9,+,,
Aneth,Chou de bruxelles,4,+,,
Aneth,Chou de bruxelles,23,+,,
Aneth,Chou de bruxelles,19,+,,
Aneth,Concombre,9,+,,
Aneth,Concombre,8,+,,
Aneth,Concombre,3,+,,
Aneth,Concombre,23,+,,
Aneth,Concombre,17,+,,
Aneth,Concombre,15,+,,
Aneth,Concombre,14,+,,
Aneth,Coriandre,23,+,,
Aneth,Cornichon,9,+,,
Aneth,Endive,14,+,,
Aneth,Fève & Fèverole,15,+,,
Aneth,Fenouil,23,+,,
Aneth,"Haricots (à rame, à grain, blancs, violets, nains)",3,+,,
Aneth,"Haricots (à rame, à grain, blancs, violets, nains)",14,+,,
Aneth,"Haricots (à rame, à grain, blancs, violets, nains)",15,+,,
Aneth,Laitue (Salade),3,+,,
Aneth,Laitue (Salade),15,+,,
Aneth,Maïs,20,+,,
Aneth,Oignon,8,+,,
Aneth,Oignon,3,+,,
Aneth,Oignon,20,+,,
Aneth,Oignon,15,+,,
Aneth,Oignon,14,+,,
Aneth,Panais,23,+,,
Aneth,Tomate,9,+,,
Aneth,Tomate,6,+,,
Aneth,Tomate,23,+,,
Aneth,Tomate,17,+,,
Anis,"Choux (cabus, fleur, chinois, milan, frisé, rave)",9,+,,
Anis,Coriandre,11,+,,
Anis,Coriandre,15,+,,
Anis,"Haricots (à rame, à grain, blancs, violets, nains)",15,+,,
Arbres fruitiers (en général),"Blettes (bettes, cardes, poirées…)",23,+,,
Arbres fruitiers (en général),Capucine,23,+,,
Arbres fruitiers (en général),Capucine,17,+,,
Arbres fruitiers (en général),Capucine,16,+,,
Arbres fruitiers (en général),Capucine,15,+,,
Arbres fruitiers (en général),Capucine,11,+,,
Arbres fruitiers (en général),Carotte,23,+,,
Arbres fruitiers (en général),Ciboulette,23,+,,
Arbres fruitiers (en général),Ciboulette,16,+,,
Arbres fruitiers (en général),Ciboulette,15,+,,
Arbres fruitiers (en général),Epinard,23,+,,
Arbres fruitiers (en général),Framboise,15,+,,
Arbres fruitiers (en général),Mélisse,23,+,,
Arbres fruitiers (en général),Œillet d'Inde (Tagète),13,+,,
Arbres fruitiers (en général),Oignon,3,+,,
Arbres fruitiers (en général),Oignon,15,+,,
Arbres fruitiers (en général),Oignon,14,+,,
Arbres fruitiers (en général),Ortie,23,+,,
Arbres fruitiers (en général),Raifort,15,+,,
Arbres fruitiers (en général),Soucis,23,+,,
Arbres fruitiers (en général),Tanaisie,16,+,,
Arbres fruitiers (en général),Tanaisie,23,+,,
Artichaut,Asperge,9,+,,
Artichaut,Asperge,15,+,,
Artichaut,Aubergine,9,+,,
Artichaut,Brocoli,15,+,,
Artichaut,"Choux (cabus, fleur, chinois, milan, frisé, rave)",15,+,,
Artichaut,Chou de bruxelles,15,+,,
Artichaut,Endive,15,+,,
Artichaut,Estragon,20,+,,
Artichaut,Fève & Fèverole,6,+,,
Artichaut,Fève & Fèverole,10,+,,
Artichaut,"Haricots (à rame, à grain, blancs, violets, nains)",6,+,,
Artichaut,"Haricots (à rame, à grain, blancs, violets, nains)",15,+,,
Artichaut,"Haricots (à rame, à grain, blancs, violets, nains)",2,+,,
Artichaut,"Haricots (à rame, à grain, blancs, violets, nains)",10,+,,
Artichaut,Laitue (Salade),9,+,,
Artichaut,Laitue (Salade),6,+,,
Artichaut,Laitue (Salade),10,+,,
Artichaut,Oignon,6,+,,
Artichaut,Oignon,15,+,,
Artichaut,Pois,2,+,,
Artichaut,Pois,6,+,,
Artichaut,Pois,10,+,,
Artichaut,Radis,6,+,,
Artichaut,Radis,2,+,,
Artichaut,Radis,15,+,,
Artichaut,Radis,10,+,,
Artichaut,Tomate,9,+,,
Artichaut,Tournesol,20,+,,
Asperge,Basilic,9,+,,
Asperge,Basilic,23,+,,
Asperge,Basilic,22,+,,
Asperge,Basilic,21,+,,
Asperge,Basilic,20,+,,
Asperge,Basilic,19,+,,
Asperge,Basilic,17,+,,
Asperge,Basilic,16,+,,
Asperge,Basilic,15,+,,
Asperge,Basilic,11,+,,
Asperge,Capucine,19,+,,
Asperge,Capucine,15,+,,
Asperge,Carotte,20,+,,
Asperge,"Choux (cabus, fleur, chinois, milan, frisé, rave)",2,+,,
Asperge,"Choux (cabus, fleur, chinois, milan, frisé, rave)",7,+,,
Asperge,Ciboulette,23,+,,
Asperge,Ciboulette,17,+,,
Asperge,Concombre,6,+,,
Asperge,Concombre,5,+,,
Asperge,Concombre,1,+,,
Asperge,Coriandre,19,+,,
Asperge,Consoude,17,+,,
Asperge,Cornichon,6,+,,
Asperge,Cornichon,5,+,,
Asperge,Echalote,6,+,,
Asperge,Echalote,2,+,,
Asperge,Endive,15,+,,
Asperge,Epinard,9,+,,
Asperge,"Haricots (à rame, à grain, blancs, violets, nains)",15,+,,
Asperge,"Haricots (à rame, à grain, blancs, violets, nains)",2,+,,
Asperge,Laitue (Salade),9,+,,
Asperge,Laitue (Salade),7,+,,
Asperge,Navet,2,+,,
Asperge,Nectarine,15,+,,
Asperge,Oignon,2,+,,
Asperge,Oignon,1,+,,
Asperge,Origan (Marjolaine),23,+,,
Asperge,Oseille,9,+,,
Asperge,Oseille,15,+,,
Asperge,Pêche,15,+,,
Asperge,Persil,9,+,,
Asperge,Persil,7,+,,
Asperge,Persil,6,+,,
Asperge,Persil,5,+,,
Asperge,Persil,4,+,,
Asperge,Persil,23,+,,
Asperge,Persil,22,+,,
Asperge,Persil,21,+,,
Asperge,Persil,20,+,,
Asperge,Persil,2,+,,
Asperge,Persil,19,+,,
Asperge,Persil,17,+,,
Asperge,Persil,16,+,,
Asperge,Persil,15,+,,
Asperge,Persil,12,+,,
Asperge,Persil,11,+,,
Asperge,Persil,1,+,,
Asperge,Piment,9,+,,
Asperge,Piment,15,+,,
Asperge,Poireau,9,+,,
Asperge,Poireau,6,+,,
Asperge,Poireau,5,+,,
Asperge,Poireau,1,+,,
Asperge,Pois,9,+,,
Asperge,Pois,6,+,,
Asperge,Pois,5,+,,
Asperge,Pois,4,+,,
Asperge,Pois,2,+,,
Asperge,Pois,1,+,,
Asperge,Poivron,9,+,,
Asperge,Poivron,15,+,,
Asperge,Pomme de terre,6,+,,
Asperge,Radis,2,+,,
Asperge,Radis,9,+,,
Asperge,Rhubarbe,9,+,,
Asperge,Rhubarbe,15,+,,
Asperge,Soucis,19,+,,
Asperge,Soucis,16,+,,
Asperge,Tomate,9,+,,
Asperge,Tomate,7,+,,
Asperge,Tomate,6,+,,
Asperge,Tomate,5,+,,
Asperge,Tomate,4,+,,
Asperge,Tomate,23,+,,
Asperge,Tomate,22,+,,
Asperge,Tomate,21,+,,
Asperge,Tomate,20,+,,
Asperge,Tomate,2,+,,
Asperge,Tomate,19,+,,
Asperge,Tomate,17,+,,
Asperge,Tomate,16,+,,
Asperge,Tomate,15,+,,
Asperge,Tomate,12,+,,
Asperge,Tomate,11,+,,
Asperge,Tomate,10,+,,
Asperge,Tomate,1,+,,
Aubergine,Basilic,9,+,,
Aubergine,Basilic,15,+,,
Aubergine,Basilic,1,+,,
Aubergine,"Courge, Citrouille, Potiron",17,+,,
Aubergine,"Courge, Citrouille, Potiron",20,+,,
Aubergine,Epinard,9,+,,
Aubergine,Epinard,4,+,,
Aubergine,Epinard,20,+,,
Aubergine,Epinard,19,+,,
Aubergine,Epinard,18,+,,
Aubergine,Epinard,17,+,,
Aubergine,Estragon,4,+,,
Aubergine,Estragon,6,+,,
Aubergine,Estragon,9,+,,
Aubergine,Estragon,20,+,,
Aubergine,Fève & Fèverole,9,+,,
Aubergine,Fève & Fèverole,22,+,,
Aubergine,Fève & Fèverole,1,+,,
Aubergine,"Haricots (à rame, à grain, blancs, violets, nains)",11,+,,
Aubergine,"Haricots (à rame, à grain, blancs, violets, nains)",15,+,,
Aubergine,"Haricots (à rame, à grain, blancs, violets, nains)",9,+,,
Aubergine,"Haricots (à rame, à grain, blancs, violets, nains)",20,+,,
Aubergine,"Haricots (à rame, à grain, blancs, violets, nains)",18,+,,
Aubergine,"Haricots (à rame, à grain, blancs, violets, nains)",7,+,,
Aubergine,"Haricots (à rame, à grain, blancs, violets, nains)",6,+,,
Aubergine,"Haricots (à rame, à grain, blancs, violets, nains)",5,+,,
Aubergine,"Haricots (à rame, à grain, blancs, violets, nains)",23,+,,
Aubergine,"Haricots (à rame, à grain, blancs, violets, nains)",2,+,,
Aubergine,"Haricots (à rame, à grain, blancs, violets, nains)",19,+,,
Aubergine,"Haricots (à rame, à grain, blancs, violets, nains)",17,+,,
Aubergine,"Haricots (à rame, à grain, blancs, violets, nains)",16,+,,
Aubergine,"Haricots (à rame, à grain, blancs, violets, nains)",10,+,,
Aubergine,"Haricots (à rame, à grain, blancs, violets, nains)",1,+,,
Aubergine,Laitue (Salade),15,+,,
Aubergine,Œillet d'Inde (Tagète),6,+,,
Aubergine,Œillet d'Inde (Tagète),15,+,,
Aubergine,Persil,9,+,,
Aubergine,Phacélie,15,+,,
Aubergine,Piment,9,+,,
Aubergine,Piment,6,+,,
Aubergine,Piment,20,+,,
Aubergine,Piment,19,+,,
Aubergine,Piment,15,+,,
Aubergine,Poireau,15,+,,
Aubergine,Pois,4,+,,
Aubergine,Pois,9,+,,
Aubergine,Pois,11,+,,
Aubergine,Pois,15,+,,
Aubergine,Pois,20,+,,
Aubergine,Poivron,9,+,,
Aubergine,Poivron,6,+,,
Aubergine,Poivron,19,+,,
Aubergine,Poivron,15,+,,
Aubergine,Pomme de terre,5,+,,
Aubergine,Pomme de terre,23,+,,
Aubergine,Pomme de terre,20,+,,
Aubergine,Pomme de terre,19,+,,
Aubergine,Pomme de terre,17,+,,
Aubergine,Pomme de terre,16,+,,
Aubergine,Pomme de terre,15,+,,
Aubergine,Pomme de terre,11,+,,
Aubergine,Radis,15,+,,
Aubergine,Soucis,6,+,,
Aubergine,Soucis,22,+,,
Aubergine,Soucis,20,+,,
Aubergine,Soucis,15,+,,
Aubergine,Thym,4,+,,
Aubergine,Thym,6,+,,
Aubergine,Thym,9,+,,
Aubergine,Thym,15,+,,
Aubergine,Thym,20,+,,
Aubergine,Tomate,6,+,,
Aubergine,Tomate,9,+,,
Basilic,"Choux (cabus, fleur, chinois, milan, frisé, rave)",6,+,,
Basilic,"Choux (cabus, fleur, chinois, milan, frisé, rave)",20,+,,
Basilic,"Choux (cabus, fleur, chinois, milan, frisé, rave)",15,+,,
Basilic,Ciboulette,23,+,,
Basilic,Concombre,8,+,,
Basilic,Concombre,6,+,,
Basilic,Concombre,3,+,,
Basilic,Concombre,23,+,,
Basilic,Concombre,17,+,,
Basilic,Concombre,15,+,,
Basilic,Concombre,14,+,,
Basilic,Concombre,13,+,,
Basilic,Concombre,1,+,,
Basilic,Cornichon,6,+,,
Basilic,"Courge, Citrouille, Potiron",1,+,,
Basilic,"Courge, Citrouille, Potiron",6,+,,
Basilic,"Courge, Citrouille, Potiron",9,+,,
Basilic,Courgette,8,+,,
Basilic,Courgette,6,+,,
Basilic,Courgette,14,+,,
Basilic,Courgette,1,+,,
Basilic,Fenouil,8,+,,
Basilic,Fenouil,23,+,,
Basilic,Fenouil,14,+,,
Basilic,Fenouil,1,+,,
Basilic,"Haricots (à rame, à grain, blancs, violets, nains)",6,+,,
Basilic,"Haricots (à rame, à grain, blancs, violets, nains)",15,+,,
Basilic,Melon,6,+,,
Basilic,Panais,1,+,,
Basilic,Piment,9,+,,
Basilic,Piment,4,+,,
Basilic,Piment,20,+,,
Basilic,Piment,18,+,,
Basilic,Piment,15,+,,
Basilic,Poivron,18,+,,
Basilic,Poivron,15,+,,
Basilic,Sauge,15,+,,
Basilic,Soucis,18,+,,
Basilic,Soucis,20,+,,
Basilic,Thym,15,+,,
Basilic,Tomate,9,+,,
Basilic,Tomate,8,+,,
Basilic,Tomate,7,+,,
Basilic,Tomate,6,+,,
Basilic,Tomate,5,+,,
Basilic,Tomate,4,+,,
Basilic,Tomate,23,+,,
Basilic,Tomate,20,+,,
Basilic,Tomate,19,+,,
Basilic,Tomate,18,+,,
Basilic,Tomate,17,+,,
Basilic,Tomate,16,+,,
Basilic,Tomate,15,+,,
Basilic,Tomate,14,+,,
Basilic,Tomate,11,+,,
Basilic,Tomate,1,+,,
"Blettes (bettes, cardes, poirées…)",Betterave,17,+,,
"Blettes (bettes, cardes, poirées…)",Betterave,23,+,,
"Blettes (bettes, cardes, poirées…)",Carotte,7,+,,
"Blettes (bettes, cardes, poirées…)",Carotte,6,+,,
"Blettes (bettes, cardes, poirées…)",Carotte,2,+,,
"Blettes (bettes, cardes, poirées…)",Carotte,15,+,,
"Blettes (bettes, cardes, poirées…)",Céleris (branche & rave),1,+,,
"Blettes (bettes, cardes, poirées…)",Céleris (branche & rave),6,+,,
"Blettes (bettes, cardes, poirées…)",Cerise,23,+,,
"Blettes (bettes, cardes, poirées…)",Cerise,17,+,,
"Blettes (bettes, cardes, poirées…)","Choux (cabus, fleur, chinois, milan, frisé, rave)",9,+,,
"Blettes (bettes, cardes, poirées…)","Choux (cabus, fleur, chinois, milan, frisé, rave)",6,+,,
"Blettes (bettes, cardes, poirées…)","Choux (cabus, fleur, chinois, milan, frisé, rave)",22,+,,
"Blettes (bettes, cardes, poirées…)","Choux (cabus, fleur, chinois, milan, frisé, rave)",21,+,,
"Blettes (bettes, cardes, poirées…)","Choux (cabus, fleur, chinois, milan, frisé, rave)",20,+,,
"Blettes (bettes, cardes, poirées…)","Choux (cabus, fleur, chinois, milan, frisé, rave)",19,+,,
"Blettes (bettes, cardes, poirées…)","Choux (cabus, fleur, chinois, milan, frisé, rave)",15,+,,
"Blettes (bettes, cardes, poirées…)",Echalote,6,+,,
"Blettes (bettes, cardes, poirées…)",Echalote,15,+,,
"Blettes (bettes, cardes, poirées…)",Endive,19,+,,
"Blettes (bettes, cardes, poirées…)",Epinard,6,+,,
"Blettes (bettes, cardes, poirées…)",Fève & Fèverole,15,+,,
"Blettes (bettes, cardes, poirées…)","Haricots (à rame, à grain, blancs, violets, nains)",15,+,,
"Blettes (bettes, cardes, poirées…)",Laitue (Salade),1,+,,
"Blettes (bettes, cardes, poirées…)",Laitue (Salade),6,+,,
"Blettes (bettes, cardes, poirées…)",Lavande,23,+,,
"Blettes (bettes, cardes, poirées…)",Lavande,17,+,,
"Blettes (bettes, cardes, poirées…)",Maïs,15,+,,
"Blettes (bettes, cardes, poirées…)",Mûre,23,+,,
"Blettes (bettes, cardes, poirées…)",Navet,15,+,,
"Blettes (bettes, cardes, poirées…)",Oignon,6,+,,
"Blettes (bettes, cardes, poirées…)",Oignon,23,+,,
"Blettes (bettes, cardes, poirées…)",Oignon,17,+,,
"Blettes (bettes, cardes, poirées…)",Oignon,15,+,,
"Blettes (bettes, cardes, poirées…)",Oignon,1,+,,
"Blettes (bettes, cardes, poirées…)",Origan (Marjolaine),23,+,,
"Blettes (bettes, cardes, poirées…)",Radis,7,+,,
"Blettes (bettes, cardes, poirées…)",Radis,6,+,,
"Blettes (bettes, cardes, poirées…)",Radis,15,+,,
Betterave,Brocoli,23,+,,
Betterave,Brocoli,19,+,,
Betterave,Brocoli,17,+,,
Betterave,Brocoli,15,+,,
Betterave,Céleris (branche & rave),1,+,,
Betterave,Céleris (branche & rave),5,+,,
Betterave,Céleris (branche & rave),6,+,,
Betterave,Céleris (branche & rave),9,+,,
Betterave,Céleris (branche & rave),10,+,,
Betterave,Céleris (branche & rave),15,+,,
Betterave,Céleris (branche & rave),2,+,,
Betterave,Céleris (branche & rave),4,+,,
Betterave,"Choux (cabus, fleur, chinois, milan, frisé, rave)",9,+,,
Betterave,"Choux (cabus, fleur, chinois, milan, frisé, rave)",7,+,,
Betterave,"Choux (cabus, fleur, chinois, milan, frisé, rave)",6,+,,
Betterave,"Choux (cabus, fleur, chinois, milan, frisé, rave)",5,+,,
Betterave,"Choux (cabus, fleur, chinois, milan, frisé, rave)",4,+,,
Betterave,"Choux (cabus, fleur, chinois, milan, frisé, rave)",3,+,,
Betterave,"Choux (cabus, fleur, chinois, milan, frisé, rave)",23,+,,
Betterave,"Choux (cabus, fleur, chinois, milan, frisé, rave)",22,+,,
Betterave,"Choux (cabus, fleur, chinois, milan, frisé, rave)",21,+,,
Betterave,"Choux (cabus, fleur, chinois, milan, frisé, rave)",20,+,,
Betterave,"Choux (cabus, fleur, chinois, milan, frisé, rave)",2,+,,
Betterave,"Choux (cabus, fleur, chinois, milan, frisé, rave)",19,+,,
Betterave,"Choux (cabus, fleur, chinois, milan, frisé, rave)",18,+,,
Betterave,"Choux (cabus, fleur, chinois, milan, frisé, rave)",17,+,,
Betterave,"Choux (cabus, fleur, chinois, milan, frisé, rave)",16,+,,
Betterave,"Choux (cabus, fleur, chinois, milan, frisé, rave)",15,+,,
Betterave,"Choux (cabus, fleur, chinois, milan, frisé, rave)",12,+,,
Betterave,"Choux (cabus, fleur, chinois, milan, frisé, rave)",11,+,,
Betterave,"Choux (cabus, fleur, chinois, milan, frisé, rave)",10,+,,
Betterave,"Choux (cabus, fleur, chinois, milan, frisé, rave)",1,+,,
Betterave,Chou de bruxelles,9,+,,
Betterave,Chou de bruxelles,23,+,,
Betterave,Chou de bruxelles,17,+,,
Betterave,Chou de bruxelles,15,+,,
Betterave,"Choux (cabus, fleur, chinois, milan, frisé, rave)",14,+,,
Betterave,Concombre,7,+,,
Betterave,Concombre,2,+,,
Betterave,Coriandre,1,+,,
Betterave,Echalote,6,+,,
Betterave,Echalote,10,+,,
Betterave,Endive,9,+,,
Betterave,Epinard,17,+,,
Betterave,Epinard,10,+,,
Betterave,Estragon,15,+,,
Betterave,Fève & Fèverole,4,+,,
Betterave,Fève & Fèverole,15,+,,
Betterave,Figue,15,+,,
Betterave,Fraise,7,+,,
Betterave,"Haricots (à rame, à grain, blancs, violets, nains)",11,+,,
Betterave,"Haricots (à rame, à grain, blancs, violets, nains)",15,+,,
Betterave,"Haricots (à rame, à grain, blancs, violets, nains)",3,+,,
Betterave,"Haricots (à rame, à grain, blancs, violets, nains)",14,+,,
Betterave,"Haricots (à rame, à grain, blancs, violets, nains)",5,+,,
Betterave,"Haricots (à rame, à grain, blancs, violets, nains)",2,+,,
Betterave,"Haricots (à rame, à grain, blancs, violets, nains)",8,+,,
Betterave,"Haricots (à rame, à grain, blancs, violets, nains)",7,+,,
Betterave,"Haricots (à rame, à grain, blancs, violets, nains)",4,+,,
Betterave,"Haricots (à rame, à grain, blancs, violets, nains)",23,+,,
Betterave,"Haricots (à rame, à grain, blancs, violets, nains)",20,+,,
Betterave,"Haricots (à rame, à grain, blancs, violets, nains)",18,+,,
Betterave,"Haricots (à rame, à grain, blancs, violets, nains)",17,+,,
Betterave,"Haricots (à rame, à grain, blancs, violets, nains)",10,+,,
Betterave,Laitue (Salade),9,+,,
Betterave,Laitue (Salade),8,+,,
Betterave,Laitue (Salade),5,+,,
Betterave,Laitue (Salade),4,+,,
Betterave,Laitue (Salade),3,+,,
Betterave,Laitue (Salade),23,+,,
Betterave,Laitue (Salade),20,+,,
Betterave,Laitue (Salade),19,+,,
Betterave,Laitue (Salade),17,+,,
Betterave,Laitue (Salade),15,+,,
Betterave,Laitue (Salade),12,+,,
Betterave,Laitue (Salade),10,+,,
Betterave,Laitue (Salade),1,+,,
Betterave,Maïs,15,+,,
Betterave,Maïs,11,+,,
Betterave,Navet,9,+,,
Betterave,Oignon,9,+,,
Betterave,Oignon,8,+,,
Betterave,Oignon,7,+,,
Betterave,Oignon,6,+,,
Betterave,Oignon,5,+,,
Betterave,Oignon,4,+,,
Betterave,Oignon,3,+,,
Betterave,Oignon,23,+,,
Betterave,Oignon,22,+,,
Betterave,Oignon,21,+,,
Betterave,Oignon,20,+,,
Betterave,Oignon,2,+,,
Betterave,Oignon,19,+,,
Betterave,Oignon,18,+,,
Betterave,Oignon,17,+,,
Betterave,Oignon,16,+,,
Betterave,Oignon,15,+,,
Betterave,Oignon,14,+,,
Betterave,Oignon,11,+,,
Betterave,Oignon,10,+,,
Betterave,Oignon,1,+,,
Betterave,Origan (Marjolaine),23,+,,
Betterave,Poireau,9,+,,
Betterave,Poireau,15,+,,
Betterave,Poireau,14,+,,
Betterave,Poireau,11,+,,
Betterave,Pois,9,+,,
Betterave,Pois,5,+,,
Betterave,Pois,17,+,,
Betterave,Pomme de terre,23,+,,
Betterave,Pomme de terre,17,+,,
Betterave,Radis,9,+,,
Betterave,Radis,6,+,,
Betterave,Radis,20,+,,
Betterave,Radis,15,+,,
Betterave,Radis,11,+,,
Betterave,Radis,10,+,,
Betterave,Raifort,20,+,,
Betterave,Sarriette,3,+,,
Betterave,Sarriette,15,+,,
Betterave,Sarriette,14,+,,
Betterave,Sauge,18,+,,
Betterave,Sauge,19,+,,
Betterave,Sauge,20,+,,
Betterave,Thym,15,+,,
Bourrache,Brocoli,23,+,,
Bourrache,Brocoli,15,+,,
